                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.96742,                0.47365,                0.95346,                0.93185,                0.88331,                0.94987,                0.66355,                0.93644,                0.43946,                 0.9879,              0.0088912,              0.0088912,              0.0088912
                    114,                 0.9756,                 0.4709,                0.94494,                0.94201,                0.85695,                0.93886,                0.66276,                0.94049,                   0.46,                0.98503,              0.0088813,              0.0088813,              0.0088813
                    115,                0.94983,                0.46964,                 0.9445,                0.93595,                0.88249,                0.94316,                0.67154,                 0.9245,                0.44086,                  0.983,              0.0088714,              0.0088714,              0.0088714
                    116,                0.95458,                0.47865,                0.94116,                0.92614,                 0.8894,                0.94465,                0.65424,                0.95577,                 0.4557,                0.99819,              0.0088615,              0.0088615,              0.0088615
                    117,                0.95832,                0.46896,                0.93782,                0.95366,                0.88149,                0.95172,                0.66445,                0.96233,                0.45628,                 1.0059,              0.0088516,              0.0088516,              0.0088516
                    118,                0.97033,                0.48141,                0.93446,                0.93933,                0.86132,                0.93796,                0.65503,                0.96074,                0.47058,                  1.009,              0.0088417,              0.0088417,              0.0088417
                    119,                0.96233,                0.47228,                0.93831,                0.94153,                0.86425,                 0.9407,                0.65795,                 0.9579,                0.48796,                 1.0054,              0.0088318,              0.0088318,              0.0088318
                    120,                0.94906,                0.47266,                0.94142,                0.94126,                0.87446,                0.93595,                0.65503,                0.95953,                0.48734,                0.99887,              0.0088219,              0.0088219,              0.0088219
                    121,                0.94767,                0.46997,                 0.9422,                0.96276,                0.86468,                0.94084,                0.65784,                0.93811,                0.47349,                0.98913,               0.008812,               0.008812,               0.008812
                    122,                0.94314,                0.46324,                0.93051,                0.95065,                0.87509,                0.93767,                0.65997,                0.93983,                0.46897,                0.99616,              0.0088021,              0.0088021,              0.0088021
                    123,                0.92714,                0.44953,                0.93579,                0.93719,                0.87507,                0.94236,                0.66151,                0.93515,                0.46993,                0.99485,              0.0087922,              0.0087922,              0.0087922
                    124,                0.93616,                0.45934,                  0.944,                0.95132,                0.87022,                0.95062,                0.66156,                0.94164,                0.44794,                 0.9985,              0.0087823,              0.0087823,              0.0087823
                    125,                0.91995,                0.45267,                0.93548,                0.95246,                0.85924,                0.94201,                0.66708,                0.92207,                 0.4556,                0.98907,              0.0087724,              0.0087724,              0.0087724
                    126,                0.92878,                0.45868,                0.93456,                0.94659,                0.87519,                0.94058,                0.65733,                 0.9188,                0.47101,                0.99318,              0.0087625,              0.0087625,              0.0087625
                    127,                0.92444,                0.45498,                0.93472,                0.95285,                0.85878,                0.93682,                0.66364,                0.91196,                0.47416,                0.98585,              0.0087526,              0.0087526,              0.0087526
                    128,                0.92157,                0.44478,                0.92735,                0.93935,                0.88434,                0.94666,                0.66515,                0.93546,                 0.4443,                 1.0036,              0.0087427,              0.0087427,              0.0087427
                    129,                0.90722,                0.44427,                0.92355,                0.95749,                0.86765,                0.94921,                0.66765,                0.94151,                0.45321,                 0.9897,              0.0087328,              0.0087328,              0.0087328
                    130,                0.92591,                0.45313,                0.92993,                0.92325,                0.87188,                0.93511,                0.66168,                 0.9291,                0.48889,                0.99216,              0.0087229,              0.0087229,              0.0087229
                    131,                0.91716,                0.44904,                0.92402,                0.96088,                0.87541,                0.94153,                0.66612,                0.93733,                0.46074,                0.99474,               0.008713,               0.008713,               0.008713
                    132,                 0.9137,                0.44926,                 0.9233,                0.92865,                0.89506,                0.94585,                0.67031,                0.91297,                0.45582,                0.99211,              0.0087031,              0.0087031,              0.0087031
                    133,                0.91672,                0.45183,                0.92691,                0.94841,                0.85555,                0.93928,                0.66509,                0.92256,                0.49041,                0.98816,              0.0086932,              0.0086932,              0.0086932
                    134,                0.91624,                0.44483,                0.92831,                0.95512,                0.85958,                0.94043,                  0.663,                0.93657,                 0.4855,                0.99678,              0.0086833,              0.0086833,              0.0086833
                    135,                0.90043,                0.45115,                0.92824,                0.94569,                0.88197,                0.94317,                 0.6651,                0.93288,                0.45184,                0.99001,              0.0086734,              0.0086734,              0.0086734
                    136,                0.89239,                0.44249,                0.92377,                0.94388,                0.87338,                0.93833,                0.66523,                0.91699,                0.46073,                0.99462,              0.0086635,              0.0086635,              0.0086635
                    137,                0.89712,                0.44209,                 0.9175,                0.93013,                0.90763,                0.94662,                0.66333,                0.94223,                0.45749,                0.99837,              0.0086536,              0.0086536,              0.0086536
                    138,                0.90616,                0.44845,                  0.929,                0.93441,                0.88732,                0.94915,                0.66566,                0.95008,                0.48403,                0.99358,              0.0086437,              0.0086437,              0.0086437
                    139,                0.89915,                0.43074,                 0.9268,                0.96054,                0.86934,                0.95169,                0.68055,                0.90456,                0.43072,                0.99126,              0.0086338,              0.0086338,              0.0086338
                    140,                0.91295,                0.45076,                0.92226,                0.94061,                0.88106,                0.93933,                0.66842,                0.91593,                0.47671,                0.98343,              0.0086239,              0.0086239,              0.0086239
                    141,                 0.9003,                0.43941,                 0.9197,                0.94999,                0.87148,                0.94318,                0.66888,                0.91697,                0.44139,                0.98525,               0.008614,               0.008614,               0.008614
                    142,                0.89925,                0.43825,                0.92255,                0.96206,                0.86478,                0.94641,                0.67235,                0.91858,                0.46565,                0.98955,              0.0086041,              0.0086041,              0.0086041
                    143,                0.89222,                0.44457,                 0.9228,                0.93792,                0.86846,                0.94194,                0.66265,                 0.9472,                0.48536,                 1.0091,              0.0085942,              0.0085942,              0.0085942
                    144,                0.90562,                0.43981,                 0.9205,                0.95002,                0.87373,                0.95312,                 0.6723,                0.93349,                0.47293,                0.98946,              0.0085843,              0.0085843,              0.0085843
                    145,                0.88501,                0.44399,                0.91904,                0.90565,                0.90951,                0.94594,                0.66478,                0.93867,                0.45114,                0.99447,              0.0085744,              0.0085744,              0.0085744
                    146,                0.88725,                0.43927,                0.92086,                0.93597,                0.89501,                0.94763,                0.66578,                0.92888,                0.44366,                0.99017,              0.0085645,              0.0085645,              0.0085645
                    147,                0.89181,                0.43746,                0.91663,                0.94535,                0.88999,                0.94696,                0.67172,                0.93621,                0.46037,                0.99034,              0.0085546,              0.0085546,              0.0085546
                    148,                0.86104,                0.42548,                 0.9145,                0.96706,                 0.8647,                0.94813,                0.67888,                0.90445,                0.44441,                0.98481,              0.0085447,              0.0085447,              0.0085447
                    149,                0.88542,                0.43779,                0.91348,                0.94987,                0.88451,                0.94928,                0.67159,                0.91368,                0.43686,                0.98719,              0.0085348,              0.0085348,              0.0085348
                    150,                0.86638,                 0.4275,                0.92067,                0.94801,                0.88242,                0.95266,                0.67494,                0.92064,                0.43377,                0.99246,              0.0085249,              0.0085249,              0.0085249
                    151,                0.86221,                0.42241,                0.91245,                0.95605,                0.87996,                0.94944,                0.66947,                0.92246,                0.44783,                0.98824,               0.008515,               0.008515,               0.008515
                    152,                0.87837,                0.42828,                0.91043,                0.96893,                0.88323,                0.95725,                0.67325,                0.93813,                0.42543,                0.99706,              0.0085051,              0.0085051,              0.0085051
                    153,                0.86169,                0.42239,                0.91168,                0.95926,                0.86409,                0.94683,                0.67058,                0.93978,                 0.4472,                 1.0024,              0.0084952,              0.0084952,              0.0084952
